iter	Passed	Remaining
0	149	149767
1	160	79980
2	167	55597
3	177	44299
4	182	36338
5	187	31023
6	190	27047
7	193	23979
8	195	21552
9	198	19613
10	200	18012
11	202	16700
12	205	15567
13	206	14559
14	208	13680
15	209	12909
16	211	12223
17	212	11608
18	214	11062
19	215	10579
20	217	10160
21	219	9750
22	220	9371
23	221	9021
24	222	8696
25	224	8401
26	225	8125
27	226	7869
28	227	7631
29	229	7408
30	230	7202
31	231	7013
32	233	6848
33	235	6680
34	236	6518
35	237	6370
36	239	6224
37	240	6085
38	241	5954
39	242	5829
40	244	5710
41	245	5598
42	246	5491
43	248	5401
44	250	5310
45	251	5220
46	252	5129
47	254	5042
48	255	4958
49	256	4878
50	258	4801
51	259	4727
52	260	4656
53	261	4588
54	263	4526
55	265	4467
56	266	4412
57	268	4353
58	269	4296
59	270	4241
60	272	4187
61	273	4136
62	274	4087
63	276	4041
64	277	3994
65	279	3951
66	281	3914
67	282	3874
68	284	3832
69	285	3791
70	286	3751
71	287	3711
72	289	3673
73	290	3637
74	292	3601
75	293	3567
76	294	3535
77	296	3510
78	298	3481
79	299	3449
80	301	3418
81	302	3388
82	304	3359
83	305	3332
84	306	3304
85	308	3276
86	309	3249
87	311	3227
88	313	3205
89	314	3182
90	316	3157
91	317	3134
92	318	3110
93	321	3094
94	322	3076
95	324	3058
96	326	3043
97	328	3026
98	331	3012
99	333	2999
100	336	2994
101	339	2989
102	342	2982
103	344	2970
104	346	2957
105	348	2942
106	350	2927
107	352	2913
108	356	2913
109	359	2907
110	362	2899
111	364	2889
112	367	2881
113	369	2869
114	371	2855
115	373	2843
116	375	2837
117	378	2827
118	380	2816
119	382	2805
120	384	2793
121	386	2780
122	388	2767
123	391	2768
124	394	2762
125	396	2749
126	398	2736
127	400	2726
128	402	2714
129	403	2702
130	407	2702
131	409	2691
132	411	2680
133	412	2668
134	414	2658
135	416	2648
136	418	2638
137	421	2634
138	423	2625
139	426	2618
140	428	2608
141	430	2599
142	432	2590
143	434	2581
144	436	2574
145	439	2569
146	441	2561
147	443	2551
148	445	2543
149	447	2534
150	449	2525
151	451	2516
152	454	2514
153	456	2507
154	458	2500
155	460	2492
156	462	2484
157	464	2474
158	465	2464
159	468	2457
160	470	2449
161	471	2441
162	473	2431
163	475	2422
164	476	2412
165	478	2402
166	479	2393
167	481	2384
168	483	2378
169	486	2372
170	487	2365
171	489	2356
172	491	2348
173	492	2339
174	494	2331
175	496	2322
176	498	2316
177	501	2313
178	503	2307
179	504	2299
180	506	2291
181	508	2283
182	509	2276
183	511	2268
184	513	2262
185	516	2259
186	518	2253
187	520	2246
188	521	2239
189	523	2232
190	525	2224
191	527	2219
192	529	2213
193	532	2211
194	534	2206
195	536	2200
196	538	2193
197	539	2186
198	541	2179
199	543	2172
200	544	2165
201	546	2160
202	549	2155
203	551	2150
204	552	2143
205	554	2136
206	556	2130
207	557	2123
208	559	2117
209	561	2110
210	563	2107
211	565	2103
212	567	2097
213	569	2091
214	571	2087
215	574	2084
216	575	2078
217	577	2072
218	580	2069
219	582	2064
220	584	2058
221	586	2053
222	587	2048
223	589	2042
224	591	2036
225	592	2030
226	595	2027
227	597	2023
228	599	2018
229	601	2013
230	603	2008
231	606	2007
232	614	2023
233	617	2020
234	619	2016
235	621	2012
236	625	2013
237	628	2011
238	630	2008
239	632	2004
240	635	2000
241	637	1996
242	639	1993
243	643	1994
244	646	1993
245	649	1990
246	652	1987
247	654	1984
248	658	1985
249	661	1984
250	663	1980
251	665	1975
252	667	1971
253	669	1966
254	671	1962
255	675	1962
256	678	1960
257	680	1957
258	682	1952
259	684	1947
260	686	1944
261	689	1943
262	692	1940
263	694	1936
264	696	1932
265	698	1928
266	700	1924
267	703	1921
268	707	1923
269	710	1921
270	713	1918
271	715	1914
272	717	1910
273	721	1910
274	724	1909
275	726	1906
276	729	1903
277	731	1900
278	736	1902
279	739	1900
280	742	1900
281	746	1900
282	749	1898
283	753	1898
284	755	1895
285	758	1892
286	760	1888
287	764	1889
288	767	1888
289	770	1886
290	773	1883
291	775	1879
292	777	1876
293	780	1874
294	785	1876
295	787	1874
296	790	1870
297	792	1866
298	794	1862
299	796	1858
300	799	1857
301	802	1854
302	804	1850
303	806	1846
304	808	1843
305	810	1839
306	813	1836
307	816	1834
308	819	1832
309	821	1828
310	823	1825
311	825	1821
312	828	1817
313	831	1816
314	833	1813
315	836	1810
316	838	1807
317	841	1804
318	843	1800
319	846	1798
320	848	1795
321	851	1792
322	853	1789
323	855	1785
324	857	1781
325	861	1780
326	871	1793
327	874	1791
