iter	Passed	Remaining
0	3	3537
1	6	3333
2	10	3382
3	13	3288
4	16	3196
5	19	3156
6	22	3151
7	26	3229
8	28	3190
9	31	3157
10	34	3132
11	38	3152
12	41	3177
13	44	3134
14	47	3134
15	50	3123
16	53	3104
17	57	3127
18	60	3104
19	62	3085
20	65	3073
21	69	3070
22	72	3079
23	75	3070
24	78	3052
25	81	3059
26	84	3053
27	87	3049
28	91	3047
29	94	3055
30	97	3058
31	101	3071
32	105	3091
33	108	3096
34	112	3105
35	116	3124
36	120	3149
37	125	3166
38	128	3167
39	132	3171
40	136	3190
41	140	3196
42	144	3221
43	148	3222
44	152	3227
45	155	3227
46	159	3224
47	162	3220
48	165	3213
49	169	3215
50	172	3207
51	175	3199
52	178	3192
53	182	3192
54	186	3200
55	189	3191
56	192	3184
57	196	3185
58	199	3189
59	202	3180
60	206	3177
61	209	3167
62	212	3162
63	216	3165
64	219	3157
65	222	3152
66	225	3146
67	229	3141
68	232	3141
69	235	3133
70	238	3124
71	242	3121
72	245	3119
73	249	3118
74	252	3117
75	256	3114
76	259	3112
77	263	3113
78	266	3108
79	270	3105
80	272	3096
81	275	3087
82	279	3083
83	281	3074
84	284	3065
85	287	3055
86	290	3049
87	293	3043
88	296	3038
89	300	3035
90	303	3030
91	306	3023
92	309	3018
93	312	3013
94	315	3005
95	318	3001
96	321	2996
97	324	2991
98	327	2985
99	331	2979
100	334	2975
101	337	2969
102	340	2966
103	344	2966
104	347	2959
105	349	2950
106	352	2942
107	355	2937
108	359	2934
109	362	2928
110	364	2921
111	366	2904
112	369	2899
113	372	2893
114	376	2900
115	380	2896
116	383	2895
117	387	2893
118	390	2893
119	394	2892
120	399	2900
121	403	2905
122	408	2915
123	412	2915
124	416	2917
125	420	2917
126	423	2912
127	426	2906
128	430	2905
129	433	2899
130	436	2895
131	440	2893
132	443	2888
133	446	2887
134	449	2881
135	453	2879
136	456	2875
137	459	2872
138	463	2868
139	466	2862
140	469	2860
141	472	2855
142	475	2850
143	478	2845
144	481	2839
145	484	2835
146	487	2831
147	491	2827
148	494	2823
149	497	2817
150	500	2814
151	503	2810
152	507	2807
153	510	2805
154	513	2800
155	517	2798
156	520	2793
157	523	2787
158	526	2785
159	529	2780
160	532	2777
161	536	2773
162	539	2768
163	542	2764
164	545	2761
165	549	2760
166	552	2756
167	555	2753
168	559	2750
169	562	2745
170	565	2742
171	568	2737
172	571	2733
173	574	2729
174	578	2725
